humidity,soil depth,temperature,ph,probability of presence of life
47.3,14.2,28.6,6.9,0.81
59.5,18.9,25.3,7.1,0.66
39.8,15.4,30.1,6.6,0.89
43.6,17.2,27.5,7.3,0.73
56.7,20.1,24.4,7.6,0.58
48.2,17.6,29.3,6.7,0.75
38.5,13.4,31.2,6.4,0.88
58.1,19.8,24.6,7.2,0.63
40.3,16.5,28.9,6.6,0.72
45.6,18.2,25.8,7.3,0.68
50.4,21.5,23.7,7.6,0.55
36.9,14.2,29.8,6.3,0.85
44.6,12.9,27.3,6.7,0.77
52.1,19.3,25.2,7.1,0.65
37.4,15.9,30.2,6.6,0.89
43.2,17.8,26.5,7.4,0.71
59.7,20.9,24.2,7.7,0.52
40.7,16.3,28.5,6.8,0.76
46.3,18.6,25.3,7.2,0.66
54.8,21.2,23.5,7.5,0.57
38.2,13.7,31.5,6.5,0.9
49.1,17.2,29.1,6.9,0.73
35.6,14.5,27.7,6.6,0.83
61.5,22.3,22.9,7.8,0.5
45.8,19.9,24.8,7.1,0.64
53.4,20.6,23.3,7.6,0.56
41.9,16.8,28.3,6.7,0.78
57.1,21.5,23.1,7.4,0.6
39.8,14.6,30.8,6.4,0.87
47.2,18.3,25.6,7.3,0.69
55.6,21.8,22.8,7.6,0.54
36.3,13.9,30.1,6.5,0.91
44.9,16.2,28.1,6.9,0.74
51.3,19.6,24.9,7.2,0.67
38.7,15.3,29.5,6.6,0.82
60.4,22.6,22.5,7.9,0.48
42.2,17.2,27.2,6.8,0.79
49.7,20.1,23.7,7.5,0.59
37.6,14.9,30.4,6.4,0.86
46.1,17.6,26.4,7.2,0.7
54.5,21.3,23.4,7.6,0.55
40.1,16.5,28.7,6.7,0.77
58.8,22.1,22.7,7.7,0.53
35.4,14.3,29.9,6.6,0.88
43.9,16.8,28.4,6.8,0.75
52.4,19.8,24.7,7.3,0.65
38.5,15.5,29.3,6.7,0.8
47.8,18.4,25.4,7.2,0.68
55.2,16.5,26.3,7.0,0.72
42.8,20.1,24.5,7.3,0.65
47.3,14.2,28.6,6.9,0.81
59.5,18.9,25.3,7.1,0.66
39.8,15.4,30.1,6.6,0.89
43.6,17.2,27.5,7.3,0.73
56.7,20.1,24.4,7.6,0.58
48.2,17.6,29.3,6.7,0.75
38.5,13.4,31.2,6.4,0.88
58.1,19.8,24.6,7.2,0.63
40.3,16.5,28.9,6.6,0.72
45.6,18.2,25.8,7.3,0.68
50.4,21.5,23.7,7.6,0.55
36.9,14.2,29.8,6.3,0.85
44.6,12.9,27.3,6.7,0.77
52.1,19.3,25.2,7.1,0.65
37.4,15.9,30.2,6.6,0.89
43.2,17.8,26.5,7.4,0.71
59.7,20.9,24.2,7.7,0.52
40.7,16.3,28.5,6.8,0.76
46.3,18.6,25.3,7.2,0.66
54.8,21.2,23.5,7.5,0.57
38.2,13.7,31.5,6.5,0.9
49.1,17.2,29.1,6.9,0.73
35.6,14.5,27.7,6.6,0.83
61.5,22.3,22.9,7.8,0.5
45.8,19.9,24.8,7.1,0.64
53.4,20.6,23.3,7.6,0.56
41.9,16.8,28.3,6.7,0.78
57.1,21.5,23.1,7.4,0.6
39.8,14.6,30.8,6.4,0.87
47.2,18.3,25.6,7.3,0.69
55.6,21.8,22.8,7.6,0.54
36.3,13.9,30.1,6.5,0.91
44.9,16.2,28.1,6.9,0.74
51.3,19.6,24.9,7.2,0.67
38.7,15.3,29.5,6.6,0.82
60.4,22.6,22.5,7.9,0.48
42.2,17.2,27.2,6.8,0.79
49.7,20.1,23.7,7.5,0.59
37.6,14.9,30.4,6.4,0.86
46.1,17.6,26.4,7.2,0.7
54.5,21.3,23.4,7.6,0.55
40.1,16.5,28.7,6.7,0.77
58.8,22.1,22.7,7.7,0.53
35.4,14.3,29.9,6.6,0.88
43.9,16.8,28.4,6.8,0.75
52.4,19.8,24.7,7.3,0.65
38.5,15.5,29.3,6.7,0.8
47.8,18.4,25.4,7.2,0.68
55.2,16.5,26.3,7.0,0.72
42.8,20.1,24.5,7.3,0.65
41.2,15.7,31.3,6.9,0.83
48.6,19.2,26.5,7.2,0.71
57.2,22.4,23.9,7.5,0.56
37.9,14.4,30.6,6.5,0.89
45.3,17.1,27.8,7.1,0.66
52.7,20.3,24.6,7.4,0.61
39.3,15.8,29.7,6.7,0.79
61.1,23.1,22.3,7.8,0.49
43.7,17.4,28.1,6.9,0.76
50.2,20.6,23.9,7.6,0.58
36.6,14.7,30.3,6.5,0.88
46.2,17.8,26.8,7.3,0.69
53.6,21.4,24.1,7.6,0.53
40.5,16.6,28.6,6.8,0.77
59.2,22.3,23.1,7.7,0.52
36.4,14.6,30.2,6.6,0.87
44.9,17.3,28.3,6.8,0.74
51.4,19.9,24.8,7.3,0.66
38.9,15.5,29.5,6.7,0.8
48.2,18.6,25.6,7.2,0.68
55.7,16.8,26.4,7.0,0.72
42.3,20.2,24.6,7.3,0.65
47.4,14.3,28.7,6.9,0.81
59.8,19.1,25.4,7.1,0.67
39.1,15.6,30.3,6.7,0.89
44.7,17.3,28.6,6.8,0.75
54.2,20.1,24.5,7.3,0.65
39.5,14.6,29.4,6.7,0.8
48.9,17.3,29.2,6.9,0.73
36.6,14.9,27.8,6.6,0.83
62.5,22.4,23.1,7.9,0.51
46.8,20.1,24.9,7.1,0.64
52.4,20.8,23.4,7.6,0.56
41.1,16.8,28.4,6.7,0.78
58.1,21.7,23.6,7.4,0.6
40.2,15.7,31.3,6.9,0.83
47.6,18.3,25.8,7.2,0.71
55.2,21.9,23.2,7.6,0.54
37.3,14.2,30.5,6.5,0.89
45.6,17.4,27.9,7.1,0.66
51.8,19.7,24.7,7.2,0.67
38.8,15.4,29.6,6.6,0.82
60.5,22.7,22.6,7.9,0.48
42.4,17.3,27.3,6.8,0.79
49.8,20.2,23.8,7.5,0.59
37.7,14.9,30.5,6.4,0.86
46.2,17.7,26.5,7.3,0.7
54.7,21.5,23.5,7.6,0.55
40.4,16.7,28.8,6.7,0.77
58.9,22.2,22.8,7.7,0.53
35.5,14.4,30.1,6.6,0.88
44.1,16.9,28.5,6.8,0.75
53.6,19.9,24.8,7.3,0.65
38.6,15.6,29.4,6.7,0.8
47.9,18.5,25.5,7.2,0.68
55.3,16.6,26.4,7.0,0.72
42.9,20.2,24.6,7.3,0.65
63.2,21.9,22.2,7.8,0.5
41.6,17.8,27.1,6.7,0.8
48.9,19.4,23.7,7.4,0.6
36.7,15.1,30.2,6.5,0.87
47.1,17.4,26.5,7.1,0.71
55.4,21.1,23.5,7.7,0.54
39.2,16.5,28.4,6.8,0.76
60.4,22.3,22.6,7.7,0.52
34.8,14.1,30.0,6.6,0.86
45.9,17.6,28.2,6.8,0.73
51.5,19.5,24.6,7.2,0.66
38.3,15.3,29.7,6.7,0.81
49.6,18.4,25.3,7.3,0.69
56.1,16.5,26.5,7.1,0.73
43.5,20.2,24.7,7.3,0.64
42.1,15.7,31.2,6.9,0.84
50.6,19.2,26.5,7.2,0.72
59.2,22.5,23.8,7.5,0.57
38.9,14.4,30.7,6.5,0.9
46.3,17.1,27.9,7.2,0.67
53.9,20.6,24.8,7.5,0.62
37.3,15.8,29.8,6.7,0.8
61.6,23.3,22.5,7.9,0.51
42.7,17.7,28.2,6.9,0.77
49.2,20.7,23.7,7.6,0.59
36.9,14.8,30.4,6.5,0.89
47.4,17.9,26.9,7.4,0.7
54.9,21.6,23.6,7.7,0.56
40.1,16.7,28.7,6.8,0.78
58.2,22.5,23.2,7.8,0.53
35.4,14.7,30.0,6.6,0.87
44.9,17.5,28.4,6.8,0.74
52.5,19.8,24.9,7.3,0.67
39.1,15.7,29.6,6.7,0.8
48.4,18.7,25.7,7.2,0.69
55.9,16.9,26.6,7.1,0.73
42.3,20.3,24.7,7.3,0.66
46.8,14.2,28.8,6.9,0.82
60.3,19.3,25.5,7.1,0.68
38.1,15.7,30.4,6.7,0.9
44.7,17.4,28.7,6.8,0.75
54.5,20.2,24.6,7.3,0.65
39.9,14.7,29.5,6.7,0.8
48.1,17.4,29.3,6.9,0.74
36.8,15.1,27.9,6.6,0.84
62.8,22.6,23.2,7.9,0.52
47.1,20.2,25.0,7.1,0.65
53.7,20.9,23.5,7.6,0.57
41.2,16.9,28.5,6.7,0.79
59.1,21.8,23.7,7.4,0.61
40.3,15.8,31.2,6.9,0.84
48.2,18.4,25.9,7.2,0.72
56.2,22.0,23.3,7.6,0.55
37.4,14.3,30.6,6.5,0.89
45.7,17.5,28.0,7.1,0.68
52.0,19.8,24.8,7.2,0.69
39.8,15.5,29.7,6.6,0.83
60.6,22.8,22.7,7.9,0.49
43.2,17.4,27.4,6.8,0.8
50.3,20.3,23.9,7.5,0.6
37.8,15.0,30.6,6.4,0.86
46.1,17.8,26.6,7.3,0.71
54.8,21.6,23.6,7.6,0.55
40.6,16.9,28.9,6.7,0.77
59.0,22.3,22.9,7.7,0.53
35.6,14.5,30.1,6.6,0.88
44.3,17.0,28.6,6.8,0.75
53.7,20.0,24.9,7.3,0.66
38.7,15.6,29.5,6.7,0.8
47.6,18.6,25.6,7.2,0.68
55.4,16.7,26.5,7.0,0.72
43.0,20.3,24.7,7.3,0.65
43.2,20.1,24.5,7.2,0.67
62.1,21.5,22.3,7.7,0.53
41.8,17.9,27.2,6.8,0.79
49.3,19.3,23.6,7.3,0.66
37.9,15.4,30.3,6.6,0.88
46.2,17.2,26.8,7.1,0.69
54.7,20.5,24.7,7.4,0.58
40.4,16.5,28.5,6.8,0.76
60.7,22.2,23.5,7.6,0.54
36.5,14.9,30.1,6.5,0.89
45.1,17.7,28.3,6.9,0.72
52.2,19.6,24.8,7.2,0.68
38.6,15.5,29.7,6.7,0.81
47.3,18.3,25.5,7.3,0.67
55.6,16.6,26.4,7.1,0.74
42.5,20.1,24.8,7.2,0.66
61.1,23.2,22.6,7.8,0.51
39.7,17.3,28.1,6.9,0.77
48.3,20.6,23.6,7.5,0.59
35.8,14.6,30.2,6.6,0.87
54.1,20.3,24.7,7.3,0.65
